graph_dot,graph_g6,executable,method,cr,time,success
graph G {  0; 0 -- 6; 1; 1 -- 7; 2; 2 -- 8; 3; 3 -- 5; 3 -- 7; 4; 4 -- 5; 4 -- 8; 5; 6; 6 -- 7; 6 -- 8; 7; 8;},H??[Aci,bin/okp-recognition-obj,sat,0.0,108505.0,True
graph G {  0; 0 -- 6; 1; 1 -- 7; 2; 2 -- 8; 3; 3 -- 5; 3 -- 7; 4; 4 -- 5; 4 -- 8; 5; 6; 6 -- 7; 6 -- 8; 7; 8;},H??[Aci,bin/okp-recognition-obj,dp,0.0,67501.0,True
graph G {  0; 0 -- 6; 1; 1 -- 7; 2; 2 -- 8; 3; 3 -- 5; 3 -- 7; 4; 4 -- 5; 4 -- 8; 5; 6; 6 -- 7; 6 -- 8; 7; 8;},H??[Aci,bin/okp-recognition-obj --no_bct,ilp,0.0,4825669.0,True
graph G {  0; 0 -- 6; 1; 1 -- 7; 2; 2 -- 8; 3; 3 -- 5; 3 -- 7; 4; 4 -- 5; 4 -- 8; 5; 6; 6 -- 7; 6 -- 8; 7; 8;},H??[Aci,bin/okp-recognition-obj --no_bct,sat,0.0,150195.0,True
graph G {  0; 0 -- 6; 1; 1 -- 7; 2; 2 -- 8; 3; 3 -- 5; 3 -- 7; 4; 4 -- 5; 4 -- 8; 5; 6; 6 -- 7; 6 -- 8; 7; 8;},H??[Aci,bin/okp-recognition-obj --no_bct,dp,0.0,165860.0,True
graph G {  0; 0 -- 1; 0 -- 4; 1; 1 -- 4; 2; 2 -- 3; 2 -- 5; 3; 3 -- 5; 4; 4 -- 5; 5;},E`ow,bin/okp-recognition-obj,ilp,0.0,3106933.0,True
graph G {  0; 0 -- 1; 0 -- 4; 1; 1 -- 4; 2; 2 -- 3; 2 -- 5; 3; 3 -- 5; 4; 4 -- 5; 5;},E`ow,bin/okp-recognition-obj,sat,0.0,14539.0,True
graph G {  0; 0 -- 1; 0 -- 4; 1; 1 -- 4; 2; 2 -- 3; 2 -- 5; 3; 3 -- 5; 4; 4 -- 5; 5;},E`ow,bin/okp-recognition-obj,dp,0.0,11363.0,True
graph G {  0; 0 -- 1; 0 -- 4; 1; 1 -- 4; 2; 2 -- 3; 2 -- 5; 3; 3 -- 5; 4; 4 -- 5; 5;},E`ow,bin/okp-recognition-obj --no_bct,ilp,0.0,856369.0,True
graph G {  0; 0 -- 1; 0 -- 4; 1; 1 -- 4; 2; 2 -- 3; 2 -- 5; 3; 3 -- 5; 4; 4 -- 5; 5;},E`ow,bin/okp-recognition-obj --no_bct,sat,0.0,94421.0,True
graph G {  0; 0 -- 1; 0 -- 4; 1; 1 -- 4; 2; 2 -- 3; 2 -- 5; 3; 3 -- 5; 4; 4 -- 5; 5;},E`ow,bin/okp-recognition-obj --no_bct,dp,0.0,48505.0,True
graph G {  0; 0 -- 7; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 5; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 6 -- 7; 7;},GJ\z~{,bin/okp-recognition-obj,ilp,6.0,1497441983.0,True
graph G {  0; 0 -- 7; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 5; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 6 -- 7; 7;},GJ\z~{,bin/okp-recognition-obj,sat,6.0,3854392472.0,True
graph G {  0; 0 -- 7; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 5; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 6 -- 7; 7;},GJ\z~{,bin/okp-recognition-obj,dp,6.0,289518469898.0,True
graph G {  0; 0 -- 7; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 5; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 6 -- 7; 7;},GJ\z~{,bin/okp-recognition-obj --no_bct,ilp,6.0,2389174498.0,True
graph G {  0; 0 -- 7; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 5; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 6 -- 7; 7;},GJ\z~{,bin/okp-recognition-obj --no_bct,sat,6.0,4623910537.0,True
graph G {  0; 0 -- 7; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 5; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 6 -- 7; 7;},GJ\z~{,bin/okp-recognition-obj --no_bct,dp,0.0,600000000000.0,False
graph G {  0; 0 -- 6; 1; 1 -- 6; 2; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F?C^w,bin/okp-recognition-obj,ilp,1.0,3849927.0,True
graph G {  0; 0 -- 6; 1; 1 -- 6; 2; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F?C^w,bin/okp-recognition-obj,sat,1.0,202930.0,True
graph G {  0; 0 -- 6; 1; 1 -- 6; 2; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F?C^w,bin/okp-recognition-obj,dp,1.0,56552.0,True
graph G {  0; 0 -- 6; 1; 1 -- 6; 2; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F?C^w,bin/okp-recognition-obj --no_bct,ilp,1.0,17312641.0,True
graph G {  0; 0 -- 6; 1; 1 -- 6; 2; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F?C^w,bin/okp-recognition-obj --no_bct,sat,1.0,440226.0,True
graph G {  0; 0 -- 6; 1; 1 -- 6; 2; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F?C^w,bin/okp-recognition-obj --no_bct,dp,1.0,358799.0,True
graph G {  0; 0 -- 7; 1; 1 -- 5; 1 -- 7; 2; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 4; 4 -- 6; 5; 6; 7;},G?DPV?,bin/okp-recognition-obj,ilp,0.0,4459120.0,True
graph G {  0; 0 -- 7; 1; 1 -- 5; 1 -- 7; 2; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 4; 4 -- 6; 5; 6; 7;},G?DPV?,bin/okp-recognition-obj,sat,0.0,119714.0,True
graph G {  0; 0 -- 7; 1; 1 -- 5; 1 -- 7; 2; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 4; 4 -- 6; 5; 6; 7;},G?DPV?,bin/okp-recognition-obj,dp,0.0,94255.0,True
graph G {  0; 0 -- 7; 1; 1 -- 5; 1 -- 7; 2; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 4; 4 -- 6; 5; 6; 7;},G?DPV?,bin/okp-recognition-obj --no_bct,ilp,0.0,3725594.0,True
graph G {  0; 0 -- 7; 1; 1 -- 5; 1 -- 7; 2; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 4; 4 -- 6; 5; 6; 7;},G?DPV?,bin/okp-recognition-obj --no_bct,sat,0.0,130356.0,True
graph G {  0; 0 -- 7; 1; 1 -- 5; 1 -- 7; 2; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 4; 4 -- 6; 5; 6; 7;},G?DPV?,bin/okp-recognition-obj --no_bct,dp,0.0,112398.0,True
graph G {  0; 0 -- 7; 1; 1 -- 5; 2; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 4; 4 -- 6; 5; 6; 6 -- 7; 7;},G?DPTC,bin/okp-recognition-obj,ilp,0.0,3676633.0,True
graph G {  0; 0 -- 7; 1; 1 -- 5; 2; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 4; 4 -- 6; 5; 6; 6 -- 7; 7;},G?DPTC,bin/okp-recognition-obj,sat,0.0,17846.0,True
graph G {  0; 0 -- 7; 1; 1 -- 5; 2; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 4; 4 -- 6; 5; 6; 6 -- 7; 7;},G?DPTC,bin/okp-recognition-obj,dp,0.0,18218.0,True
graph G {  0; 0 -- 7; 1; 1 -- 5; 2; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 4; 4 -- 6; 5; 6; 6 -- 7; 7;},G?DPTC,bin/okp-recognition-obj --no_bct,ilp,0.0,3620213.0,True
graph G {  0; 0 -- 7; 1; 1 -- 5; 2; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 4; 4 -- 6; 5; 6; 6 -- 7; 7;},G?DPTC,bin/okp-recognition-obj --no_bct,sat,0.0,124618.0,True
graph G {  0; 0 -- 7; 1; 1 -- 5; 2; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 4; 4 -- 6; 5; 6; 6 -- 7; 7;},G?DPTC,bin/okp-recognition-obj --no_bct,dp,0.0,138335.0,True
graph G {  0; 0 -- 4; 1; 1 -- 3; 1 -- 4; 2; 2 -- 3; 2 -- 4; 3; 4;},DBw,bin/okp-recognition-obj,ilp,0.0,3637965.0,True
graph G {  0; 0 -- 4; 1; 1 -- 3; 1 -- 4; 2; 2 -- 3; 2 -- 4; 3; 4;},DBw,bin/okp-recognition-obj,sat,0.0,78785.0,True
graph G {  0; 0 -- 4; 1; 1 -- 3; 1 -- 4; 2; 2 -- 3; 2 -- 4; 3; 4;},DBw,bin/okp-recognition-obj,dp,0.0,33713.0,True
graph G {  0; 0 -- 4; 1; 1 -- 3; 1 -- 4; 2; 2 -- 3; 2 -- 4; 3; 4;},DBw,bin/okp-recognition-obj --no_bct,ilp,0.0,624460.0,True
graph G {  0; 0 -- 4; 1; 1 -- 3; 1 -- 4; 2; 2 -- 3; 2 -- 4; 3; 4;},DBw,bin/okp-recognition-obj --no_bct,sat,0.0,75913.0,True
graph G {  0; 0 -- 4; 1; 1 -- 3; 1 -- 4; 2; 2 -- 3; 2 -- 4; 3; 4;},DBw,bin/okp-recognition-obj --no_bct,dp,0.0,33021.0,True
graph G {  0; 0 -- 5; 1; 1 -- 5; 2; 2 -- 5; 3; 3 -- 4; 4; 4 -- 5; 5;},E?Fg,bin/okp-recognition-obj,ilp,0.0,3131277.0,True
graph G {  0; 0 -- 5; 1; 1 -- 5; 2; 2 -- 5; 3; 3 -- 4; 4; 4 -- 5; 5;},E?Fg,bin/okp-recognition-obj,sat,0.0,14113.0,True
graph G {  0; 0 -- 5; 1; 1 -- 5; 2; 2 -- 5; 3; 3 -- 4; 4; 4 -- 5; 5;},E?Fg,bin/okp-recognition-obj,dp,0.0,12839.0,True
graph G {  0; 0 -- 5; 1; 1 -- 5; 2; 2 -- 5; 3; 3 -- 4; 4; 4 -- 5; 5;},E?Fg,bin/okp-recognition-obj --no_bct,ilp,0.0,715359.0,True
graph G {  0; 0 -- 5; 1; 1 -- 5; 2; 2 -- 5; 3; 3 -- 4; 4; 4 -- 5; 5;},E?Fg,bin/okp-recognition-obj --no_bct,sat,0.0,86496.0,True
graph G {  0; 0 -- 5; 1; 1 -- 5; 2; 2 -- 5; 3; 3 -- 4; 4; 4 -- 5; 5;},E?Fg,bin/okp-recognition-obj --no_bct,dp,0.0,66679.0,True
